TS,X,Y,Z
1730912528659177742,-5.051,0.594,0.533
1730912528712256370,-5.05,0.593,0.531
1730912528782573073,-5.051,0.593,0.531
1730912528871795637,-5.052,0.593,0.528
1730912528905915284,-5.052,0.593,0.528
1730912528992529868,-5.051,0.595,0.533
1730912529066451337,-5.052,0.594,0.53
1730912529115615052,-5.052,0.594,0.53
1730912529192513735,-5.052,0.593,0.531
1730912529286365842,-5.052,0.594,0.532
1730912529391217943,-5.052,0.593,0.527
1730912529524388522,-5.053,0.593,0.521
1730912529621563316,-5.053,0.592,0.522
1730912529677975147,-5.053,0.592,0.522
1730912529874419170,-5.052,0.591,0.527
1730912529914417166,-5.05,0.594,0.54
1730912530075268372,-5.051,0.594,0.532
1730912530283031802,-5.051,0.591,0.528
1730912530389997061,-5.05,0.591,0.528
1730912530520735918,-5.052,0.59,0.525
1730912530687906197,-5.05,0.59,0.518
1730912530818859997,-5.051,0.587,0.525
1730912530875754199,-5.053,0.586,0.521
1730912531002865253,-5.051,0.593,0.528
1730912531068284652,-5.05,0.592,0.528
1730912531120505420,-5.05,0.592,0.528
1730912531186246310,-5.049,0.59,0.527
